"ID","Table"
"18","['50','74','45','78','84','95','55','82','93','75']""15","['58','83','71','86','60','84','93','76','99','78']"
"17","['12','25','73','56','26','59','55','95','32','54']""16","['81','80','44','53','87','83','98','89','79','99']"
"14","['98','80','91','97','95','87','32']""13","['32','99','76','89','11','57','69','48','42']"
"12","['80','93','5','98','83','87','74','78','94']""11","['72','69','99','5','80','100','92','38','12','84']"
"10","['51','62','55','52','36','95','97','84','45','42']""9","['86','94','33','61','68','72','82','93','29','18']"
"8","['90','30','60','84','74','75','83','80','33']""7","['96','84','86','92','99','97','72']"
"6","['12','81','94','42','86','26','78','70','20']""3","['88','95','74','91','82','40','100','11']"
"2","['51','4','5','96','87','75']""1","['95','44','72','83','73','100','86','12','93','41']"
"70","['40','68','80','90','75','93','79','49']""69","['2','68','81','1','65','83','7','91','88']"
"68","['85','8','64','74','42','55','100','93','22','31']""67","['76','75','30','19','24','32','12','94','80','77']"
"65","['98','70','81','1','84','85','5','72']""66","['81','74','86','85']"
"64","['52','75','68','91','74','35','77','60','83','93']""63","['29','88','78','73','75','87','83','76','72','47']"
"62","['21','41','60','78','99','31','84','79','76']""61","['25','35','80','33','32','83','90','98','77','99']"
"60","['63','77','99','29','86','25','68','17']""59","['2','71','30','75','72','93','85','90','89']"
"58","['11','72','43','89','86','19','90','60']""57","['48','39','35','72','44','94','92','81']"
"56","['79','73','76','97','94','99','87','72','93']""55","['42','83','45','19','73','81','23','38','27','46']"
"54","['50','88','97','86','32','95','59','17','73']""53","['25','97','33','85','80','3','23','4','30']"
"47","['84','86','31','77','33','52','29','89']""39","['87','78','88','98','46','75','89','82','96']"
"51","['77','93','33','36','47','94','65','87','72','29']""45","['94','26','10','100','83','32','91','18','36','95']"
"48","['79','88','88','76','42','95','90','91']""52","['75','77','55','33','37','19','99']"
"32","['25','93','24','91','98','97','14','82']""50","['6','86','79','84','90','77','94']"
"49","['83','76','93','75','90','70','95']""46","['90','87','39','83','91','98','28']"
"42","['89','13','62','97','95','45','10','99']""43","['22','3','4','97','99','70','26','75','1','68']"
"44","['16','60','86','79','46','81','31','40','99','88']""41","['72','12','83','1','93']"
"37","['19','78','92','75','80','72','71']""38","['69','20','97','88','90','92','84','79','71']"
"36","['71','84','98','96','86','97','77']""40","['64','76','78','99','87','88','72','94','90','89']"
"35","['96','90','83','97','76','76','75']""34","['85','78','74','93','83','91']"
"33","['77','82','83','84','74','90','8','88']""31","['3','64','55','74','68','89']"
"30","['77','80','33','4','25','53','91']""29","['47','78','76','73','77','87','33','51','65']"
"28","['97','81','79','96','72','87','99','78','91']""26","['81','50','27','17','68','86','82','33','18','93']"
"27","['60','81','74','58','88','22','93','19','95','78']""25","['83','97','79','82','75','91','76','75','81']"
"23","['19','71','76','75','71','57','87','81']""24","['44','85','100','26','8','88','96','94']"
"22","['68','95','84','99','92','85','32','87']""9","['72','93','29','39','87','70','26','74','94']"
"21","['79','77','92','74','93','99']""20","['76','70','12','94','26','6','4']"
"8","['60','75','80','33','92','96','61','97','73','30']""19","['92','99','78','32','85','77','90','83','55','52']"
"18","['45','78','84','95','61','86','9','55']""7","['96','84','86','92','97','72','99']"
"16","['80','44','53','87','83','98','89','79','99','81']""15","['71','60','76','78','74','73','82','83']"
"17","['55','54','82','74','99','63','68','60','25']""5","['58','92','65','21','76','7','29','1','79','20']"
"14","['74','92','72','99','26','87']""13","['32','11','48','42','54','77','91','71','69','99']"
"3","['82','100','11','80','99','12','72','74','40','88']""12","['83','87','74','84','81','75','73','80']"
"11","['5','92','38','84','74','40','91','95','3','69']""4","['31','29','97','11','20','90','26','60','89','47']"
"10","['55','52','36','84','42','69','74','76','57','51']""6","['42','86','78','20','47','88','33','11','95','81']"
"2","['4','5','96','87','75','51']""1","['44','73','86','93','41','75','85','84','74','95']"
"70","['40','68','80','79','89','41','81','82','75','93']""68","['31','21','75','1','77','98','84','80','84','85']"
"69","['81','1','65','5','92','40','11','83']""67","['75','32','12','94','79','82','71','84','73','76']"
"65","['72','83','76','78','87','29','99']""66","['76','100','82','78','92','75','73','87','86']"
"64","['52','75','68','74','35','77','60','83','93','91']""63","['78','73','87','83','47','84','33','89','52','88']"
"62","['21','41','60','78','31','84','79','76','99']""61","['25','35','33','32','83','90','98','77','99','80']"
"60","['77','29','26','78','89','43','11','58','99']""58","['72','86','19','90','83','17','12','56','89','60']"
"59","['2','71','30','72','93','85','90','89','75']""57","['39','35','72','44','94','92','81','48']"
"56","['73','76','97','94','99','87','72','93','79']""55","['27','90','28','87','84','78','95','18','45']"
"54","['88','97','86','32','95','59','17','73','50']""53","['23','77','92','79','89','91','3']"
"52","['33','37','19','74','83','96','80','86','55']""51","['29','84','55','4','87','5','2','96']"
"50","['84','99','96','73','98','86']""49","['76','93','75','90','70','95','83']"
"48","['79','88','76','42','95','90','91','88']""47","['31','29','60','20','4','33']"
"46","['81','79','98','76','99']""45","['26','10','100','83','32','91','18','36','95','94']"
"44","['16','60','79','46','81','31','40','99','88','86']""42","['89','13','62','95','45','10','99','97']"
"43","['72','76','77','81','90','93','42','22']""41","['72','12','1','93','88','76','86','95','99','83']"
"39","['78','88','98','46','75','89','82','96','87']""40","['64','76','78','99','87','72','94','90','89','88']"
"38","['20','97','88','90','92','84','79','71','69']""37","['78','92','75','80','72','71','19']"
"36","['77','78','92','99','74','71']""35","['83','80','78','77','88']"
"33","['77','83','84','74','90','8','88','82']""34","['85','78','74','83','91','89','87','72','93']"
"32","['14','82','84','94','79','75','93']""31","['92','98','100','72','95','68']"
"30","['25','61','96','97','75','8','53']""29","['47','73','33','51','84','79','85','100','82','77']"
"28","['81','79','96','72','87','99','78','91','97']""26","['50','27','17','68','86','82','33','18','93','81']"
"27","['81','74','58','88','22','93','19','95','78','60']""24","['44','100','26','8','88','96','94','85']"
"22","['68','95','88','72','93','98','80','99']""25","['83','91','75','81','60','74','54','17','97']"
"21","['79','77','74','93','99','92']""23","['19','71','75','71','57','87','81','76']"
"20","['58','92','5','97','93','81','78','94']""19","['92','32','85','83','52','37','55','90','77','99']"
"18","['61','86','9','55','19','23','73','46','39','84']""17","['99','63','68','25','75','75','79','76','60','55']"
"16","['44','53','87','83','98','89','79','99','81','80']""13","['11','48','42','54','77','91','71','69','99','32']"
"15","['71','60','78','74','73','82','83','76']""12","['83','75','88','93','92','82','87']"
"11","['84','74','91','95','3','7','68','2','88','38']""14","['74','92','72','26','87','99']"
"10","['42','69','76','57','51','90','38','15','74','52']""9","['72','29','39','87','70','26','74','94','93']"
"7","['96','84','86','92','72','99','97']""8","['60','33','92','73','30','91','77','4','61','80']"
"6","['86','78','20','47','88','33','11','95','81','42']""5","['65','21','76','7','29','26','90','89','6','1']"
"3","['100','11','80','99','12','72','74','40','88','82']""4","['70','89','82','74','71','98']"
"2","['75','51','47','10','65','72','93','87','96','4']""1","['86','41','75','74','89','90','81','93']"
"70","['41','81','75','93','94','91','74','74','79']""68","['31','75','80','85','72','100','92','84']"
"69","['40','11','84','71','90','38','5']""67","['32','12','71','76','81','77','91','78','75']"
"66","['76','100','82','78','75','73','87','86','92']""65","['76','86','93','100','90','87']"
"63","['73','87','83','47','84','33','89','52','88','78']""62","['21','41','60','31','84','79','76','99','78']"
"64","['52','75','68','74','35','60','83','93','91','77']""60","['29','58','81','93','27','77']"
"61","['25','35','33','32','83','90','98','99','80','77']""59","['2','71','30','93','85','90','89','75','72']"
"58","['19','83','17','12','56','60','26','78','99','72']""56","['76','97','94','99','87','72','93','79','73']"
"53","['23','77','100','99','97','8','75','25','30','3']""51","['29','84','55','4','5','2','96','87']"
"50","['99','96','73','98','86','84']""49","['93','75','90','70','95','83','76']"
"52","['19','86','100','84','76','90','57','10','37']""48","['90','91','83','81','84','86','42']"
"39","['78','88','46','75','89','82','96','87','98']""46","['81','79','76','99','98']"
"47","['31','4','84','83','77','88','90','29','20','33']""45","['26','10','100','83','32','91','18','95','94','36']"
"44","['16','60','46','81','31','40','99','88','86','79']""43","['76','81','90','22','89','87','96','95','42','93']"
"42","['62','99','47','86','78','20','6','89']""41","['12','1','93','88','76','86','95','99','83','72']"
"40","['64','76','78','99','87','94','90','89','88','72']""38","['92','83','81','84','3','95','7','11','20']"
"36","['77','78','92','74','71','99']""37","['75','71','19','90','77','55','99','78','72','80']"
"35","['80','78','77','88','83']""33","['83','84','74','90','8','88','82','77']"
"34","['78','74','83','91','89','87','72','93','85']""32","['79','54','99','71','13','84']"
"55","['74','88','84','75','68','76','17','99']""57","['39','92','81','48','91','88','42','90','88','72']"
"54","['86','32','95','59','50','96','99','84','73','88']""31","['92','100','72','95','68','1','77','21','84','98']"
"30","['61','96','53','79','82','88','72','92','8','97']""29","['47','33','51','84','79','85','100','82','77','73']"
"28","['79','96','72','87','99','78','91','97','81']""27","['88','22','19','95','78','90','11','43','86','74']"
"26","['27','17','68','86','82','33','18','93','81','50']""25","['83','75','81','60','74','54','17','97','91']"
"24","['44','100','26','88','96','94','85','8']""23","['19','71','71','57','87','81','76','75']"
"21","['77','74','93','99','92','79']""22","['68','88','72','93','98','80','99','95']"
"20","['58','92','5','93','81','78','94','97']""19","['32','85','83','52','37','55','90','77','99','92']"
"18","['61','86','55','19','23','73','46','39','84','9']""17","['25','75','79','60','55','52','89','90','82','63']"
"16","['44','87','83','98','89','79','99','81','80','53']""15","['60','78','74','73','82','83','76','71']"
"14","['74','72','26','87','99','92']""13","['11','48','42','77','91','14','93','82','94','69']"
"12","['75','88','93','92','82','87','83']""11","['84','74','68','2','88','1','97','79','65','91']"
"10","['42','69','51','38','15','96','27','33','80','74']""9","['29','39','87','70','26','74','94','93','72']"
"8","['33','92','73','30','91','77','4','61','80','60']""1","['89','81','76','26','5','41']"
"7","['84','86','92','72','99','97','96']""6","['88','33','11','81','42','10','97','13','45','95']"
"5","['6','74','86','93','38','11','40','84','69','29']""4","['51','10','75','47','2','82']"
"3","['100','11','99','88','23','25','77','53','40']""2","['65','72','93','87','4','98','71','74','89','96']"
"70","['74','84','77','75','92','96','77','91']""69","['71','5','89','38','42','14','77','13','11']"
"68","['92','84','83','87','88','74','80']""66","['82','73','92','81','97','89','87']"
"65","['73','99','82','91','94','93']""67","['12','78','75','94','97','85','32']"
"64","['52','68','74','35','60','83','93','91','77','75']""63","['83','47','33','52','79','82','60','17','87']"
"61","['25','32','90','98','72','75','97','78','81','35']""62","['21','41','31','84','79','76','99','78','60']"
"59","['2','30','93','85','90','89','75','72','71']""58","['83','17','12','56','60','26','78','99','72','19']"
"60","['92','91','30','73','8','27']""56","['94','87','72','84','98','95','98','76']"
"53","['75','30','72','82','89','87','81','98','16','97']""50","['93','81','68','27','26','86']"
"57","['92','81','48','91','88','42','90','88','72','39']""55","['74','84','75','68','76','17','99','88']"
"49","['82','86','78','94']""52","['100','84','57','10','75','80','71','78','86','19']"
"54","['32','50','99','88','72','77','80','80','59']""48","['91','84','42','99','20','6','89','86','81','90']"
"51","['29','4','74','93','79','83','86','55']""47","['83','33','74','82','85','97','87','88']"
"45","['83','32','18','95','94','74','99','77','92','26']""37","['19','77','55','99','86','76','52','72']"
"38","['3','100','93','90','58','78','95']""36","['77','74','100','91','93','96','72','92']"
"35","['78','77','88','83','80']""34","['78','74','91','89','87','72','93','85','83']"
"33","['83','77','29','20','31','47','84']""44","['16','46','81','31','40','99','88','86','79','60']"
